item_name
Amic 250 mg Tablets
Amic 60 Suspension
Amic Ds 500 mg Tablets
Amicil 10 ml Drops
Amicil 60 Suspension
Amifos Injections
Amika 1 gm Injections
Amika 100 mg Injections
Amika 250 mg Injections
Amika 500 mg Injections
Amikacin 1 gm Injections
Amikacin 100 mg Injections
Amikacin 250 mg Injections
Amikacin 500 mg Injections
Amikase 1.5 miu Injections
Amikaye 500 mg Injections
Amikin 100 mg Injections
Amikin 250 mg Injections
Amikin 500 mg Injections
Amikoside 100 mg Injections
Amikoside 250 mg Injections
Amikoside 500 mg Injections
Aminocid 120 Syrups
Aminoleban 500 ml Infusion
Aminomux 100 mg Capsules
Aminomux 15 mg Injections
Aminomux 30 mg Injections
Aminomux 90 mg Injections
Aminophylline 10 ml Injections
Aminophylline Tablets
Aminoplasmal 500 ml Injections
Aminoplasmal E-5 500 ml Injections
Aminoplasmal L-10 100 ml Injections
Aminosteril 500 ml Injections
Aminosteril Paeds 500 ml Injections
Aminovel-600 500 ml Infusion
Aminovenous Paed 100 ml Injections
Amisul 250 mg Injections
Amisul 50 mg Injections
Amitin 25 mg Tablets
Amitryp 10 mg Tablets
Amitryp 25 mg Tablets
Amizole 60 Suspension
Amizole Ds Tablets
Amkay 100 mg Injections
Amkay 25 mg Injections
Amkay 250 mg Injections
Amkay 50 mg Injections
Amkay 500 mg Injections
Amkeen 100 mg Injections
Amkeen 500 mg Injections
Amlanic 375 mg Tablets
Amlanic 60 Suspension
Amlanic Ds 625 mg Tablets
Amlin 500 mg Capsules
Amlin 600 mg 2 ml Injections
Amlobest 10 mg Tablets
Amlobest 5 mg Tablets
Amlocard 10 mg Tablets
Amlocard 2.5 mg Tablets
Amlocard 5 mg Tablets
Amlod 5 mg Tablets
Amlopin 5 mg Tablets
Amlotac 10 mg Tablets
Amlotac 5 mg Tablets
Amlowan 5 mg Tablets
Ammodryl 450 Syrups
Ammoidin 10 mg Tablets
Ammonium Chloride 60 Syrups
Amocillin 125 mg 45 Suspension
Amocillin 250 mg 60 Suspension
Amocillin 250 mg Capsules
Amocillin 250 mg Injections
Amocillin Ds 500 mg Injections
Amocillin Ds 500 mg Suspension
Amodip 10 mg Tablets
Amodip 5 mg Tablets
Amolin 5 mg Tablets
Amoni 60 Syrups
Amoquine 20 Suspension
Amoquine Tablets
Amorin 50 mg Tablets
Amotac 10 mg Tablets
Amotide 20 mg Tablets
Amotide 40 mg Tablets
Amotrip 25 mg Tablets
Amoxascot 10 ml Drops
Amoxascot 125 mg 60 Suspension
Amoxascot 250 mg 60 Suspension
Amoxascot 250 mg Capsules
Amoxascot 500 mg Capsules
Amoxazol 50 Syrups
Amoxcap 125 mg 60 Suspension
Amoxi-Clav 0.6 gm Injections
Amoxi-Clav 1 gm Tablets
Amoxi-Clav 1.2 gm Injections
Amoxi-Clav 156.25/5 mg/ml 60 Suspension
Amoxi-Clav 312.5/5 mg/ml 60 Suspension
Amoxi-Clav 375 mg Tablets
Amoxi-Clav 625 mg Tablets
Amoxicap 125 mg 60 Suspension
Amoxicap 250 mg 60 Suspension
Amoxicap 250 mg Capsules
Amoxicap 500 mg Capsules
Amoxicillin 250 mg Capsules
Amoxil (Beecham) 125 mg 10 ml Drops
Amoxil (Beecham) 125 mg 60 Syrups
Amoxil (Beecham) 250 mg 60 Syrups
Amoxil (Beecham) 250 mg Capsules
Amoxil (Beecham) 250 mg Injections
Amoxil (Beecham) 500 mg Capsules
Amoxil (Beecham) 500 mg Injections
Amoxilite 125 mg 60 Suspension
Amoxilite 250 mg 60 Suspension
Amoxilite 250 mg Capsules
Amoxilite 500 mg Capsules
Amoxillin 125 mg 60 Suspension
Amoxipen 125 mg 60 Suspension
Amoxipen 250 mg Capsules
Amoxipen 500 mg Capsules
Amoxycillin 125 mg 60 Suspension
Amoxycillin 250 mg 60 Suspension
Amoxycilline 125 mg 60 Suspension
Amoxycilline 250 mg 60 Suspension
Amoxycilline 250 mg Capsules
Amoxycilline 500 mg Capsules
Amoxygen 125 mg 60 Suspension
